Rank 250 | Hero: Mae | Vote count: 555 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 251 | Hero: Selena | Vote count: 554 | Series: Fates 
Rank 252 | Hero: Rutger | Vote count: 551 | Series: The Binding Blade 
Rank 253 | Hero: Reina | Vote count: 550 | Series: Fates 
Rank 254 | Hero: Oboro | Vote count: 549 | Series: Fates 
Rank 255 | Hero: Fernand | Vote count: 540 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 256 | Hero: Guinivere | Vote count: 538 | Series: The Binding Blade 
Rank 257 | Hero: Shura | Vote count: 533 | Series: Fates 
Rank 258 | Hero: Caineghis | Vote count: 530 | Series: Radiant Dawn, Path of Radiance 
Rank 258 | Hero: Matthew | Vote count: 530 | Series: The Blazing Blade 
Rank 259 | Hero: Gregor | Vote count: 529 | Series: Awakening 
Rank 260 | Hero: Duessel | Vote count: 526 | Series: The Sacred Stones 
Rank 261 | Hero: Gonzalez | Vote count: 519 | Series: The Binding Blade 
Rank 262 | Hero: Hardin | Vote count: 516 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 263 | Hero: Neimi | Vote count: 511 | Series: The Sacred Stones 
Rank 264 | Hero: Clair | Vote count: 508 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 265 | Hero: Ricken | Vote count: 507 | Series: Awakening 
Rank 266 | Hero: Death Knight | Vote count: 506 | Series: Three Houses (Academy Arc) 
Rank 267 | Hero: Shanna | Vote count: 503 | Series: The Binding Blade 
Rank 268 | Hero: Nagi | Vote count: 498 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 269 | Hero: Setsuna | Vote count: 497 | Series: Fates 
Rank 270 | Hero: Rebecca | Vote count: 495 | Series: The Blazing Blade 
Rank 271 | Hero: Ulster | Vote count: 491 | Series: Genealogy of the Holy War 
Rank 272 | Hero: Kellam | Vote count: 489 | Series: Awakening 
Rank 272 | Hero: Michalis | Vote count: 489 | Series: Shadow Dragon and the Blade of Light / Shadow Dragon, Mystery of the Emblem / New Mystery of the Emblem 
Rank 272 | Hero: Muarim | Vote count: 489 | Series: Path of Radiance, Radiant Dawn 
Rank 273 | Hero: Benny | Vote count: 487 | Series: Fates 
Rank 274 | Hero: Noire | Vote count: 485 | Series: Awakening 
Rank 275 | Hero: Natasha | Vote count: 484 | Series: The Sacred Stones 
Rank 276 | Hero: Frederick | Vote count: 483 | Series: Awakening 
Rank 276 | Hero: Matthis | Vote count: 483 | Series: Mystery of the Emblem / New Mystery of the Emblem, Shadow Dragon and the Blade of Light / Shadow Dragon 
Rank 277 | Hero: Melady | Vote count: 477 | Series: The Binding Blade 
Rank 278 | Hero: Canas | Vote count: 474 | Series: The Blazing Blade 
Rank 279 | Hero: Arete | Vote count: 473 | Series: Fates 
Rank 280 | Hero: Caeldori | Vote count: 472 | Series: Fates 
Rank 280 | Hero: Julius | Vote count: 472 | Series: Genealogy of the Holy War 
Rank 281 | Hero: Sophie | Vote count: 471 | Series: Fates 
Rank 282 | Hero: Hugh | Vote count: 470 | Series: The Binding Blade 
Rank 282 | Hero: Vaike | Vote count: 470 | Series: Awakening 
Rank 283 | Hero: Franz | Vote count: 467 | Series: The Sacred Stones 
Rank 284 | Hero: Zeke | Vote count: 466 | Series: Gaiden / Echoes: Shadows of Valentia 
Rank 284 | Hero: Kaden | Vote count: 466 | Series: Fates 
